id,fragrance,flowering_season,bloom_time,plant_type,primary_color
842,,,,Vine / Climber,Magenta
843,,,,Shrub,Pink
844,,,,Herb,Orange
845,,,,Herb,Pink
846,,,,Tree,Golden Yellow
847,,,,Tree,Green
848,,,,Herb,White
849,,,,Herb,Purple
850,,,,Shrub / Small Tree,Red
851,,,,Shrub,Orange
852,,,,Vine / Climber,Red
853,,,,Shrub / Small Tree,Pink
854,,,,Vine / Climber,Yellow
855,,,,Tree,Yellow
856,,,,Herb,Yellow
857,,,,Small Tree,White
858,,,,Herb,Pink
859,,,,Herb,Orange
860,,,,Vine / Climber,White
861,,,,Succulent,Green
862,,,,Tree,Pink
863,,,,Small Tree,Yellow
864,,,,Herb,Orange
865,,,,Herb,Purple
866,,,,Herb,Yellow
867,,,,Shrub / Small Tree,Red
868,,,,Shrub / Small Tree,Green
869,,,,Tree,White
870,,,,Tree,Red
871,,,,Tree,Orange
872,,,,Shrub,Red
873,,,,Shrub / Small Tree,Orange
874,,,,Tree,Yellow
875,,,,Shrub / Small Tree,Red
876,,,,Shrub,Yellow
877,,,,Herb,White
878,,,,Shrub / Small Tree,Green
879,,,,Shrub,White
880,,,,Vine / Climber,White
881,,,,Shrub,Green
882,,,,Shrub,Orange
883,,,,Vine / Climber,White
884,,,,Vine / Climber,Purple
885,,,,Vine / Climber,Purple
886,,,,Herb,Purple
887,,,,Vine / Climber,Lavender
888,,,,Herb,Lavender
889,,,,Vine / Climber,Blue Violet
890,,,,Herb,Lavender
891,,,,Herb,Purple
892,,,,Shrub,Yellow
893,,,,Herb,Purple
894,,,,Aquatic,Lavender
895,,,,Herb,White
896,,,,Herb,Purple
897,,,,Herb,White
898,,,,Shrub,Blue
